permalink,name,entity_type,category_code,raised_amount_usd,funded_at,funding_round_type,status,country_code,state_code,region,city
/company/clubw-com,clubw.com,Company,ecommerce,500000,9/1/2011,venture,unknown,USA,CA,Los Angeles,manhattan beach
/company/clubw-com,clubw.com,Company,ecommerce,3100000,2/7/2013,series-a,unknown,USA,CA,Los Angeles,manhattan beach
/company/cluepedia,Cluepedia,Company,software,430000,1/1/2007,angel,unknown,USA,CA,Los Angeles,irvine
/company/clupedia,Clupedia,Company,network_hosting,1300000,5/22/2007,series-a,unknown,USA,CA,Los Angeles,santa ana
/company/clusterflunk,ClusterFlunk,Company,network_hosting,100000,7/2/2013,angel,unknown,USA,IA,Iowa City,iowa city
/company/clustrix,Clustrix,Company,software,12000000,12/15/2010,series-b,unknown,USA,CA,SF Bay,san francisco
/company/clustrix,Clustrix,Company,software,6750000,7/5/2012,venture,unknown,USA,CA,SF Bay,san francisco
/company/clustrix,Clustrix,Company,software,16500000,5/6/2013,series-c+,unknown,USA,CA,SF Bay,san francisco
/company/clustrix,Clustrix,Company,software,2500000,3/21/2013,other,unknown,USA,CA,SF Bay,san francisco
/company/clydetec-systems,ClydeTec Systems,Company,semiconductor,35000,2/4/2010,angel,unknown,USA,PA,Orefield,orefield
/company/clypd,clypd,Company,NULL,3200000,3/5/2013,series-a,unknown,USA,MA,Boston,cambridge
/company/cmosis-nv,CMOSIS nv,Company,semiconductor,1175000,1/15/2008,series-a,unknown,USA,CT,Antwerp,antwerp
/company/cmp-ly,CMP.LY,Company,software,750000,3/23/2011,angel,unknown,USA,NY,New York,new york
/company/cmp-ly,CMP.LY,Company,software,2400000,6/1/2012,series-a,unknown,USA,NY,New York,new york
/company/cmycasa,CmyCasa,Company,software,600000,1/1/2008,angel,unknown,USA,CA,SF Bay,foster city
/company/cnano-technology,Cnano Technology,Company,other,6000000,7/31/2007,venture,unknown,USA,CA,SF Bay,santa clara
/company/cnekt,Cnekt,Company,web,200000,5/15/2012,angel,unknown,USA,NY,New York,new york
